reference,accountId,amount,currency,date
TXN-2026-00001,ACC-9037,1388.48,EUR,2026-05-17T14:33:59
TXN-2026-00002,ACC-8352,8414.96,USD,2026-02-07T01:05:38
TXN-2026-00003,ACC-8998,3139.10,EUR,2026-04-22T05:06:21
TXN-2026-00004,ACC-8236,7338.20,USD,2026-01-24T17:58:22
TXN-2026-00005,ACC-3307,7927.63,USD,2026-01-22T02:27:34
TXN-2026-00006,ACC-5828,6385.08,ARS,2026-03-22T07:42:44
TXN-2026-00007,ACC-6164,2142.17,ARS,2026-02-04T19:17:06
TXN-2026-00008,ACC-9299,5977.51,USD,2026-05-11T16:58:57
TXN-2026-00009,ACC-2938,5168.05,ARS,2026-05-28T05:41:42
TXN-2026-00010,ACC-2038,1444.96,ARS,2026-05-21T12:48:14
TXN-2026-00011,ACC-5507,2036.76,EUR,2026-04-10T20:27:40
TXN-2026-00012,ACC-8924,7773.68,EUR,2026-04-14T06:24:33
TXN-2026-00013,ACC-7763,5203.04,ARS,2026-03-20T01:29:49
TXN-2026-00014,ACC-1257,5234.70,USD,2026-06-21T05:13:02
TXN-2026-00015,ACC-3213,418.97,ARS,2026-01-23T12:32:18
TXN-2026-00016,ACC-6643,7902.04,EUR,2026-05-27T04:38:24
TXN-2026-00017,ACC-9196,9846.43,USD,2026-04-07T05:47:40
TXN-2026-00018,ACC-8584,464.64,USD,2026-06-01T22:42:35
TXN-2026-00019,ACC-4344,6722.40,USD,2026-04-11T12:06:00
TXN-2026-00020,ACC-2728,4029.52,ARS,2026-01-14T14:17:55
TXN-2026-00021,ACC-8343,2527.75,ARS,2026-06-08T09:37:59
TXN-2026-00022,ACC-6200,2382.77,USD,2026-02-11T17:07:22
TXN-2026-00023,ACC-5439,7275.17,EUR,2026-05-14T18:30:48
TXN-2026-00024,ACC-8779,6087.44,USD,2026-05-28T13:53:52
TXN-2026-00025,ACC-1057,5011.73,EUR,2026-01-01T02:44:40
TXN-2026-00026,ACC-1419,537.86,EUR,2026-02-21T17:39:49
TXN-2026-00027,ACC-6251,6932.84,EUR,2026-06-14T23:17:57
TXN-2026-00028,ACC-2193,2179.24,ARS,2026-06-17T10:11:27
TXN-2026-00029,ACC-2816,6797.78,EUR,2026-06-13T23:04:43
TXN-2026-00030,ACC-1788,5554.85,ARS,2026-02-21T04:42:08
TXN-2026-00031,ACC-8473,2126.33,ARS,2026-03-15T10:24:24
TXN-2026-00032,ACC-3777,9848.63,ARS,2026-04-09T12:48:34
TXN-2026-00033,ACC-1597,2548.76,ARS,2026-05-28T00:07:23
TXN-2026-00034,ACC-4843,2033.68,USD,2026-04-13T23:41:04
TXN-2026-00035,ACC-2398,1682.38,EUR,2026-05-07T20:57:32
TXN-2026-00036,ACC-1719,6513.38,ARS,2026-01-12T08:31:07
TXN-2026-00037,ACC-4152,8450.78,EUR,2026-05-15T18:32:03
TXN-2026-00038,ACC-8949,4390.17,USD,2026-04-09T21:51:45
TXN-2026-00039,ACC-6159,9162.49,ARS,2026-06-10T08:43:40
TXN-2026-00040,ACC-3828,387.15,USD,2026-01-07T21:01:36
TXN-2026-00041,ACC-6259,6214.96,USD,2026-04-28T09:24:09
TXN-2026-00042,ACC-3866,9856.11,USD,2026-02-08T12:49:15
TXN-2026-00043,ACC-2963,8686.43,EUR,2026-03-14T04:18:45
TXN-2026-00044,ACC-6097,8856.23,ARS,2026-03-24T08:01:57
TXN-2026-00046,ACC-4512,9508.03,ARS,2026-05-15T00:49:57
TXN-2026-00047,ACC-9578,9274.41,USD,2026-01-08T17:28:47
TXN-2026-00048,ACC-5879,389.75,ARS,2026-03-03T06:12:24
TXN-2026-00050,ACC-5601,1086.51,EUR,2026-02-03T09:47:44
TXN-2026-00051,ACC-4449,152.13,ARS,2026-06-25T09:37:50
TXN-2026-00052,ACC-7718,1142.44,USD,2026-03-08T13:23:45
TXN-2026-00053,ACC-5205,691.49,EUR,2026-01-11T14:20:41
TXN-2026-00054,ACC-4219,4046.43,EUR,2026-03-21T08:57:37
TXN-2026-00055,ACC-3842,2883.86,EUR,2026-04-18T04:10:59
TXN-2026-00056,ACC-4065,1265.23,EUR,2026-02-14T01:22:17
TXN-2026-00057,ACC-2913,2179.04,ARS,2026-06-08T15:28:16
TXN-2026-00058,ACC-2192,4179.87,USD,2026-05-06T17:41:19
TXN-2026-00059,ACC-9838,3397.78,ARS,2026-03-11T08:02:22
TXN-2026-00060,ACC-3897,3675.92,USD,2026-03-07T23:29:24
TXN-2026-00061,ACC-7499,7272.32,EUR,2026-02-08T00:27:07
TXN-2026-00062,ACC-7547,491.86,ARS,2026-02-09T17:23:45
TXN-2026-00063,ACC-5055,8096.15,ARS,2026-05-09T17:11:24
TXN-2026-00064,ACC-4718,6767.17,ARS,2026-06-04T01:23:41
TXN-2026-00065,ACC-4657,221.50,EUR,2026-06-10T17:00:10
TXN-2026-00068,ACC-5848,8595.59,ARS,2026-06-07T00:51:47
TXN-2026-00069,ACC-1055,2339.09,ARS,2026-01-04T19:11:05
TXN-2026-00070,ACC-8602,7500.70,EUR,2026-04-24T06:48:54
TXN-2026-00071,ACC-2151,5099.35,USD,2026-06-18T19:33:42
TXN-2026-00072,ACC-6612,3601.79,ARS,2026-06-29T15:46:54
TXN-2026-00073,ACC-9392,296.94,ARS,2026-03-26T11:33:33
TXN-2026-00074,ACC-9412,5007.07,USD,2026-05-31T09:52:52
TXN-2026-00075,ACC-8953,9753.58,EUR,2026-03-14T12:52:31
TXN-2026-00076,ACC-6295,7256.14,USD,2026-03-09T03:03:40
TXN-2026-00077,ACC-6882,7455.33,USD,2026-02-12T21:08:38
TXN-2026-00078,ACC-7721,7451.03,EUR,2026-04-28T19:19:02
TXN-2026-00079,ACC-9376,8181.33,USD,2026-04-16T22:26:48
TXN-2026-00080,ACC-2303,4152.23,ARS,2026-02-08T22:49:32
TXN-2026-00081,ACC-4235,8501.21,EUR,2026-01-10T04:23:20
TXN-2026-00082,ACC-6726,6306.83,EUR,2026-05-26T22:56:11
TXN-2026-00083,ACC-8518,6349.87,EUR,2026-05-02T00:39:30
TXN-2026-00084,ACC-1776,8377.84,EUR,2026-04-19T03:46:01
TXN-2026-00085,ACC-9068,8976.24,ARS,2026-01-04T12:07:25
TXN-2026-00086,ACC-9756,1023.70,EUR,2026-05-21T18:33:26
TXN-2026-00087,ACC-1191,8982.10,EUR,2026-02-04T22:15:43
TXN-2026-00088,ACC-8216,773.75,EUR,2026-03-19T23:37:17
TXN-2026-00089,ACC-9673,564.74,USD,2026-05-05T13:14:03
TXN-2026-00090,ACC-9748,770.46,USD,2026-02-27T04:24:48
TXN-2026-00091,ACC-1119,7753.84,ARS,2026-01-04T04:18:41
TXN-2026-00092,ACC-2042,4358.17,EUR,2026-03-23T01:45:18
TXN-2026-00093,ACC-4160,1528.27,ARS,2026-04-11T06:59:48
TXN-2026-00094,ACC-1500,8085.53,ARS,2026-06-29T12:22:10
TXN-2026-00095,ACC-8730,2075.73,EUR,2026-01-20T02:33:50
TXN-2026-00096,ACC-6790,3015.74,ARS,2026-03-29T17:02:35
TXN-2026-00097,ACC-4905,1086.53,USD,2026-02-25T23:43:16
TXN-2026-00098,ACC-7875,5403.28,ARS,2026-02-03T08:29:56
TXN-2026-00099,ACC-6297,5286.66,USD,2026-03-18T08:26:37
TXN-2026-00100,ACC-7656,2577.78,USD,2026-03-23T02:21:53
TXN-2026-00101,ACC-7980,1872.00,EUR,2026-06-05T08:13:31
TXN-2026-00102,ACC-6964,9468.37,EUR,2026-06-06T21:08:18
TXN-2026-00103,ACC-5035,9433.23,USD,2026-05-07T18:38:10
TXN-2026-00104,ACC-7929,483.23,ARS,2026-06-07T04:03:28
TXN-2026-00105,ACC-5823,1850.17,EUR,2026-02-16T03:15:36
TXN-2026-00106,ACC-7057,8622.83,ARS,2026-04-17T15:49:07
TXN-2026-00107,ACC-2556,8992.18,USD,2026-02-24T09:24:26
TXN-2026-00108,ACC-4118,4575.97,ARS,2026-03-27T08:09:14
TXN-2026-00110,ACC-3060,7032.71,ARS,2026-03-02T19:02:47
